Nebraska December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201505,56.2
201506,69.8
201507,73.4
201508,70.9
201509,68.6
201510,54.3
201511,40.1
201512,29.7
201601,26.0
201602,35.0
201603,43.9
201604,49.9
201605,57.2
201606,73.3
201607,74.2
201608,71.8
201609,65.0
201610,55.4
201611,44.3
201612,23.8
201701,24.8
201702,35.4
201703,42.2
201704,49.7
201705,57.0
201706,70.7
201707,76.8
201708,69.0
201709,65.0
201710,51.0
201711,39.9
201712,26.6
201801,23.0
201802,21.7
201803,38.5
201804,41.2
201805,63.8
201806,72.2
201807,73.4
201808,70.8
201809,65.7
201810,47.2
201811,33.5
201812,28.1
201901,26.4
201902,17.2
201903,31.7
201904,49.2
201905,53.5
201906,68.0
201907,74.5
201908,71.5
201909,68.3
201910,44.2
201911,35.2
201912,30.2
202001,27.2
202002,29.6
202003,41.1
202004,46.1
202005,56.8
202006,73.5
202007,75.3
202008,74.0
202009,62.7
202010,46.4
202011,42.6
202012,31.3
202101,29.3
202102,16.5
202103,42.6
202104,47.0
202105,57.9
202106,72.8
202107,75.0
202108,74.3
202109,67.6
202110,53.2
202111,42.6
202112,33.8
202201,25.6
202202,26.9
202203,38.1
202204,46.6
202205,58.7
202206,71.4
202207,76.5
202208,75.0
202209,67.5
202210,52.2
202211,34.6
202212,22.7
202301,24.8
202302,27.0
202303,33.5
202304,48.1
202305,62.0
202306,69.8
202307,72.8
202308,73.8
202309,67.3
202310,51.1
202311,40.7
202312,34.1
202401,20.4
202402,38.0
202403,40.1
