Iowa December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201905,56.6
201906,69.3
201907,75.1
201908,69.6
201909,68.2
201910,47.1
201911,32.4
201912,29.2
202001,23.1
202002,24.9
202003,40.3
202004,46.7
202005,57.6
202006,72.9
202007,75.3
202008,71.9
202009,61.9
202010,46.0
202011,42.0
202012,27.2
202101,23.9
202102,12.5
202103,42.3
202104,49.3
202105,59.0
202106,73.5
202107,73.4
202108,72.9
202109,66.6
202110,55.5
202111,39.2
202112,31.9
202201,14.9
202202,21.3
202203,37.1
202204,43.8
202205,61.3
202206,71.6
202207,74.2
202208,72.0
202209,65.1
202210,50.4
202211,37.1
202212,21.3
202301,24.2
202302,26.2
202303,34.0
202304,49.4
202305,62.8
202306,71.3
202307,72.0
202308,72.5
202309,67.2
202310,53.4
202311,38.8
202312,34.5
202401,20.1
202402,37.1
202403,40.7
