Alaska December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201508,49.3
201509,38.9
201510,31.6
201511,17.2
201512,8.3
201601,17.2
201602,17.3
201603,18.7
201604,33.3
201605,44.0
201606,51.8
201607,55.6
201608,53.2
201609,42.3
201610,29.7
201611,13.3
201612,6.2
201701,4.5
201702,6.6
201703,4.9
201704,29.6
201705,40.8
201706,51.4
201707,56.2
201708,50.2
201709,42.6
201710,30.2
201711,15.8
201712,19.1
201801,6.7
201802,12.6
201803,18.0
201804,26.8
201805,39.4
201806,50.0
201807,55.6
201808,49.6
201809,44.3
201810,33.8
201811,19.1
201812,9.1
201901,7.5
201902,15.5
201903,26.5
201904,28.5
201905,43.0
201906,54.0
201907,58.1
201908,51.5
201909,44.4
201910,30.8
201911,19.8
201912,6.7
202001,-6.4
202002,1.5
202003,12.0
202004,27.5
202005,43.3
202006,50.5
202007,53.2
202008,52.1
202009,42.0
202010,28.9
202011,14.5
202012,10.6
202101,10.6
202102,1.0
202103,9.1
202104,23.9
202105,40.3
202106,50.9
202107,53.9
202108,49.4
202109,39.4
202110,27.9
202111,4.6
202112,6.8
202201,2.6
202202,8.2
202203,16.7
202204,24.9
202205,40.1
202206,52.7
202207,53.3
202208,50.1
202209,42.7
202210,28.8
202211,16.3
202212,7.1
202301,11.0
202302,6.0
202303,13.5
202304,16.7
202305,39.8
202306,49.9
202307,56.1
202308,53.3
202309,40.8
202310,27.8
202311,20.4
202312,5.9
202401,3.1
202402,11.0
202403,14.1
