Arkansas December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199808,80.9
199809,77.9
199810,64.1
199811,53.7
199812,43.9
199901,42.6
199902,49.6
199903,49.0
199904,63.4
199905,68.2
199906,76.5
199907,81.6
199908,81.2
199909,71.9
199910,62.0
199911,55.8
199912,44.0
200001,41.8
200002,49.1
200003,54.8
200004,59.2
200005,70.8
200006,75.1
200007,80.1
200008,83.8
200009,73.7
200010,63.9
200011,46.8
200012,31.6
200101,37.0
200102,45.5
200103,47.9
200104,65.4
200105,70.0
200106,75.5
200107,82.0
200108,80.8
200109,70.9
200110,59.5
200111,55.0
200112,45.2
200201,42.5
200202,42.3
200203,47.9
200204,63.6
200205,67.0
200206,76.6
200207,80.6
200208,79.9
200209,75.2
200210,60.5
200211,48.2
200212,42.7
200301,36.8
200302,40.1
200303,51.2
200304,61.7
200305,69.6
200306,73.1
200307,80.0
200308,80.8
200309,70.2
200310,62.8
200311,54.6
200312,42.3
200401,41.0
200402,40.6
200403,55.9
200404,60.8
200405,70.7
200406,75.8
200407,77.8
200408,75.3
200409,73.0
200410,65.8
200411,54.1
200412,41.5
200501,44.7
200502,47.5
200503,50.4
200504,60.9
200505,67.4
200506,77.5
200507,80.2
200508,82.2
200509,77.0
200510,61.7
200511,54.0
200512,40.0
200601,47.5
200602,40.8
200603,53.4
200604,66.5
200605,69.9
200606,76.3
200607,81.2
200608,82.1
200609,69.7
200610,60.1
200611,51.5
200612,44.9
200701,39.9
200702,40.9
200703,59.5
200704,57.4
200705,71.0
200706,77.1
200707,77.6
200708,83.7
200709,74.1
200710,64.0
200711,52.5
200712,44.0
200801,39.0
200802,43.6
200803,51.9
200804,58.8
200805,68.1
200806,77.7
200807,80.5
200808,77.7
200809,71.1
200810,60.0
200811,48.9
200812,41.0
200901,38.4
200902,47.3
200903,52.7
200904,59.6
200905,67.5
200906,78.8
200907,77.8
200908,76.6
200909,71.3
200910,57.0
200911,54.0
200912,38.1
201001,36.5
201002,36.5
201003,50.5
201004,63.4
201005,71.3
201006,81.6
201007,82.0
201008,83.9
201009,74.8
201010,62.7
201011,52.0
201012,38.9
201101,37.6
201102,43.9
201103,52.5
201104,63.5
201105,67.3
201106,81.7
201107,84.7
201108,83.1
201109,70.2
201110,60.6
201111,53.4
201112,43.3
201201,44.6
201202,47.2
201203,62.2
201204,64.4
201205,73.2
201206,78.0
201207,84.1
201208,80.2
201209,73.5
201210,59.3
201211,50.2
201212,46.4
201301,42.1
201302,43.3
201303,46.6
201304,58.5
201305,67.2
201306,77.1
201307,78.0
201308,78.4
201309,75.4
201310,61.5
201311,47.5
201312,40.1
201401,35.2
201402,38.8
201403,46.5
201404,59.6
201405,68.1
201406,76.7
201407,75.4
201408,78.7
201409,72.6
201410,63.7
201411,44.9
201412,43.8
201501,38.6
201502,36.1
201503,49.7
201504,62.5
201505,69.3
201506,78.1
201507,81.9
201508,78.1
201509,74.8
201510,63.5
201511,54.2
201512,50.0
201601,39.5
201602,46.9
201603,55.5
201604,62.5
201605,67.2
201606,78.9
201607,82.0
201608,80.0
201609,75.8
201610,67.0
201611,55.7
201612,42.5
201701,45.2
201702,52.5
201703,55.7
201704,64.2
201705,67.7
201706,75.5
201707,80.6
201708,76.9
201709,73.2
201710,62.9
201711,53.7
201712,42.4
201801,35.7
201802,45.9
201803,53.9
201804,55.2
201805,75.0
201806,80.1
201807,81.8
201808,78.8
201809,75.0
201810,62.6
201811,45.8
201812,44.2
201901,40.8
201902,46.0
201903,48.9
201904,60.8
201905,70.6
201906,75.6
201907,79.0
201908,80.3
201909,79.7
201910,60.8
201911,46.4
201912,45.7
202001,43.9
202002,44.5
202003,56.5
202004,58.8
202005,66.8
202006,76.4
202007,81.3
202008,77.8
202009,71.8
202010,59.4
202011,54.0
202012,42.6
202101,41.4
202102,34.8
202103,55.2
202104,58.4
202105,66.8
202106,76.9
202107,79.3
202108,80.7
202109,74.3
202110,65.5
202111,49.4
202112,53.4
202201,38.7
202202,42.2
202203,52.1
202204,59.9
202205,71.0
202206,78.1
202207,84.1
202208,79.4
202209,73.8
202210,61.4
202211,49.8
202212,43.2
202301,46.4
202302,48.7
202303,53.0
202304,60.2
202305,70.0
202306,77.2
202307,81.1
202308,81.7
202309,74.8
202310,64.0
202311,51.7
202312,46.0
202401,36.1
202402,51.8
202403,55.4
